 34.65  0.29  8.52  5.67  1.97
 71.24 96.42 23.30 55.07 63.69
 85.20 89.52 38.70 13.74 14.61
 71.22 57.67 51.50 29.02  1.17
  1.57 64.27 14.51 74.32 16.40
 11.76 88.81 62.31 24.97 58.44
 21.85 98.46 41.35 34.24 64.18
 47.88 91.13 13.09 27.83 92.22
 26.19 54.73 61.03 25.02 76.76
 60.62 25.04 64.12 58.46 71.41
 10.42 41.66 40.71 70.36 52.16
 42.29 78.55 83.14 49.71 17.46
 49.88 30.30 97.74 70.12  2.99
 67.11 58.52 30.91  6.69  5.67
  4.51 86.69 20.06 82.26 14.65
 37.54  8.11 56.43 95.82 54.09
 24.10 71.35 59.71 24.19 75.74
 19.27 14.77 90.10 77.18 76.56
 69.14 35.87 70.26 50.96 76.00
 46.39 42.96 12.60 34.58 25.41
 97.98 32.12 23.41 16.59 47.27
 94.12 95.68 17.58 36.00 51.87
 90.88 67.87 74.93 48.06 70.92
 83.16 29.91 21.62 22.37 52.57
  0.57 58.40 66.43 77.80 54.21
  4.68 82.49 78.80 51.89 81.00
 79.36  2.35  2.54 16.99 27.13
 16.81 62.32 41.47  3.65 83.17
 35.48 17.31 35.38 38.54 51.37
 89.06 27.91 48.24 23.37 41.42
 84.83 18.73 54.24 33.09 56.04
 45.11 49.87 38.04 87.59 61.96
 78.82 76.21 78.43  3.67  9.66
 10.43 16.78 45.21 69.88 90.44
  4.45 61.67 53.83 61.24  2.93
 31.24  7.20 81.35 16.67 66.31
 54.92 42.28 92.98 19.98 32.97
 36.54 45.20 91.24  2.20 63.70
 11.43 81.61 62.42 18.40 82.67
 42.64  0.64 55.09  1.01  4.66
 79.45 57.99 67.33 38.90 53.29
 88.60 70.65 52.70 32.63 35.12
 17.49 33.79 30.93 46.24 96.13
 26.48 79.22 71.82 54.38 96.18
 40.63 45.35 45.80  4.99  9.69
 41.79 80.28 35.79 11.32 18.98
 48.81 21.61  7.91 59.60 50.20
 77.00 77.11 33.22 93.02 96.14
 14.87  6.50 16.11 65.85 17.85
 36.26  8.18  4.14 99.97 28.42
  3.54 74.20 89.97 72.05 57.04
 58.13 66.78 67.86 37.04 84.42
 40.48 25.33 89.93 20.46 33.30
 73.56  1.05 41.05 70.20 61.09
 73.31  8.87 88.90 46.41 74.63
 39.94 83.18 96.87 33.20 90.30
 75.68 67.78 85.58 55.08 20.83
 72.98 28.32 16.97 63.08 35.78
 20.23 16.31 87.92  5.14 34.54
 98.38 92.75 37.75 67.44 23.44
 44.91 22.51 48.94 96.97 63.39
 97.00 85.19 94.07 74.51 95.45
 17.11 16.29 16.25 40.50 42.08
 41.59 32.33 42.31 76.84 73.77
 26.74 37.76  0.28 32.89 60.40
 66.80 85.62 61.11  1.79 18.64
 63.08 66.29 91.35 71.65 34.47
 79.54 99.86 84.31 80.97 19.38
 94.05 39.83 87.98 41.26  1.32
 57.66 78.78 61.65 86.51  3.92
 85.19 45.36 26.60 77.53 89.42
  6.54 54.44 87.58 66.42 85.52
 32.71 31.84 52.43 11.59 74.81
 93.54 33.80 67.30 87.17 40.55
 60.06 40.89  5.93 67.00 29.39
 90.50 59.26 84.72 91.76 96.23
  3.19 29.90 54.73 18.02 48.50
  3.36  9.62 22.21 22.97 30.17
  1.59 28.95 37.56 47.58 27.92
 52.96 68.05 30.30 57.36 31.22
 33.94 50.78 42.78 40.81  8.29
 20.19 41.86 69.20 24.40 91.88
 74.86  3.32 80.93  8.16 77.19
 96.10 30.51 77.63 68.52 97.24
 68.57 15.16 96.70 78.69 75.31
 78.26 86.15 54.23 94.10 50.21
 75.76 49.11 13.88 76.72 76.23
 99.99 44.23 23.66 30.07 72.66
 69.44 16.82 66.91 49.17 25.53
 48.06 72.03  6.58 16.07 68.51
 40.60 95.32 25.08 95.85 36.30
 44.08 58.13 88.22 89.08 88.20
 96.04 54.41 18.80 38.78 15.84
  0.80 71.52 43.91 15.15 89.70
 92.29 71.06 89.61  9.82 74.37
 31.17 46.25 46.87 75.27 82.42
 54.54 26.54 36.85 25.37 24.54
 64.64 16.43 75.65 14.73  4.67
 59.42 29.98 13.81 16.94 38.49
 37.80 10.52 73.36 83.70  3.54
